NumTopics,CoherenceScore
9,0.6490051612256004
15,0.6419205706158998
7,0.6416194303036226
14,0.6395200334079146
6,0.6358680953830472
8,0.6319159999774482
10,0.6279722644547967
21,0.6265171098801746
11,0.626093275116178
12,0.6256919010578736
32,0.625624588300187
5,0.6244523488522493
34,0.6241460073128199
13,0.620996329648447
17,0.61898041117931
20,0.6180145774422428
22,0.6175206721611167
16,0.6174869700082677
19,0.6168464154521442
18,0.6164085062711927
35,0.6117389320406683
31,0.6116771570496075
30,0.6110406295122309
23,0.6092299717744336
26,0.608886704425254
27,0.6061798559143017
33,0.6045927257080088
24,0.6037568589457162
25,0.6037537951172359
36,0.6034878931587726
38,0.5987157903260665
40,0.597751435097283
37,0.596807584376965
28,0.5931916126799734
29,0.5865124563571429
39,0.5849862969881962
